ID,slng,slat,elng,elat,duration,distance,elevation_difference,temperature,windSpeed,day_week,hour_day,restaurant,public facility,medical,accommodation,tourist attraction,transportation,education,TripType
152,8.531935,47.384918,8.532464,47.406988,1047,2454,-45,7,22,1,2,0,1,0,0,0,0,0,1
153,8.533314,47.37311,8.531935,47.384918,496,1317,0,1,11,0,6,0,5,0,0,0,4,0,1
154,8.518143,47.363148,8.536068,47.377502,671,2090,15,0,4,0,9,1,8,0,0,0,0,0,1
155,8.533736,47.366904,8.548562,47.36691,679,1117,4,6,17,0,17,7,4,0,0,0,2,0,1
156,8.545296,47.409962,8.55033,47.407098,364,495,4,3,19,0,20,0,2,0,0,0,1,0,1
157,8.530615,47.36479,8.544935,47.366752,1122,1100,6,11,15,0,15,5,1,2,0,0,5,0,1
158,8.533647,47.39808,8.544935,47.366752,1308,3586,64,10,26,0,20,5,1,2,0,0,5,0,1
159,8.536068,47.377502,8.528796,47.383858,213,894,-2,5,4,1,17,6,0,0,0,0,1,0,1
160,8.507056,47.371455,8.548519,47.376756,1899,3177,-35,2,6,1,19,1,2,0,0,0,3,1,1
161,8.52306,47.359872,8.530615,47.36479,147,789,7,13,35,0,17,3,6,0,0,0,4,0,1
162,8.52689,47.3767,8.535119,47.355189,1277,2471,8,0,4,0,9,0,1,0,0,0,0,0,1
163,8.538633,47.373935,8.530615,47.36479,1129,1183,1,10,32,0,14,3,6,0,0,0,4,0,1
164,8.515558,47.371868,8.533314,47.37311,728,1344,7,4,20,0,7,1,1,0,0,0,2,0,1
165,8.539046,47.368064,8.544935,47.366752,345,467,10,5,20,0,16,5,1,2,0,0,5,0,1
166,8.512381,47.393409,8.493822,47.398555,571,1510,2,12,30,0,16,0,1,0,0,0,3,0,1
167,8.520482,47.37209,8.520168,47.378556,197,719,7,4,30,0,21,0,1,0,1,0,0,0,1
168,8.520371,47.358664,8.531334,47.371359,164,1635,11,3,22,0,12,0,2,0,0,0,2,0,1
169,8.558096,47.413032,8.55033,47.407098,837,881,-21,10,7,0,7,0,2,0,0,0,1,0,1
170,8.562301,47.424155,8.56635,47.43326,173,1057,-6,5,7,1,14,0,1,0,0,0,0,0,1
171,8.512381,47.393409,8.510405,47.389934,437,414,-1,1,13,0,16,1,0,0,0,0,0,0,1
172,8.516692,47.389777,8.532432,47.381174,5189,1523,-2,12,30,0,12,0,0,0,0,0,2,0,1
173,8.518982,47.386741,8.538633,47.373935,742,2053,-9,6,6,1,12,5,0,0,0,0,1,0,1
174,8.537729,47.379719,8.528796,47.383858,326,815,1,3,13,0,18,6,0,0,0,0,1,0,1
175,8.530437,47.37271,8.536101,47.371083,407,463,5,8,33,0,11,3,0,0,0,0,0,0,1
176,8.52689,47.3767,8.52174,47.365272,3248,1329,-3,3,2,0,0,0,1,0,0,0,0,0,1
177,8.531836,47.378548,8.516692,47.389777,585,1691,0,8,11,1,15,0,1,0,2,0,1,0,1
178,8.548045,47.370869,8.532432,47.381174,692,1642,17,4,4,0,12,0,0,0,0,0,2,0,1
179,8.516676,47.375819,8.518982,47.386741,590,1227,5,10,9,0,8,2,1,0,0,0,3,0,1
180,8.488108,47.391366,8.510418,47.381356,797,2015,-12,6,13,1,16,0,3,0,0,0,0,0,1
181,8.516676,47.375819,8.523549,47.392347,485,1909,6,3,11,1,8,0,2,0,0,0,1,0,1
182,8.544935,47.366752,8.531836,47.378548,827,1641,5,10,9,0,8,0,0,0,0,0,1,1,1
183,8.533314,47.37311,8.536068,47.377502,193,531,5,10,50,0,23,1,8,0,0,0,0,0,1
184,8.536101,47.371083,8.533314,47.37311,199,308,-5,12,13,0,11,1,1,0,0,0,2,0,1
185,8.535082,47.345248,8.537971,47.364871,1255,2193,-6,9,7,0,12,4,2,0,0,1,0,0,1
186,8.543447,47.375933,8.544935,47.366752,454,1027,0,14,26,0,19,5,1,2,0,0,5,0,1
187,8.537971,47.364871,8.530437,47.37271,4404,1040,-1,11,7,0,14,1,2,1,0,0,0,0,1
188,8.52174,47.365272,8.541239,47.375991,203,1891,0,11,6,0,9,6,2,0,0,0,0,0,1
189,8.541239,47.375991,8.525602,47.374241,709,1193,4,8,7,1,17,3,4,0,0,0,2,0,1
190,8.544935,47.366752,8.534843,47.362594,206,890,-4,-2,0,1,6,0,4,0,0,1,0,0,1
191,8.518432,47.369549,8.52714,47.372329,458,725,8,5,17,1,8,2,0,0,0,0,0,0,1
192,8.538633,47.373935,8.486284,47.387685,1919,4228,12,2,15,0,17,0,2,0,1,0,1,0,1
193,8.516676,47.375819,8.514176,47.366371,916,1067,-20,8,2,0,10,1,0,0,0,0,0,0,1
194,8.519782,47.37497,8.518143,47.363148,440,1320,-9,12,26,0,14,1,5,0,0,0,3,0,1
195,8.535718,47.359675,8.528647,47.382083,1157,2548,-1,8,9,1,16,1,2,0,0,0,1,0,1
196,8.531334,47.371359,8.523549,47.392347,1145,2406,7,7,9,1,13,0,2,0,0,0,1,0,1
197,8.531836,47.378548,8.525782,47.365194,532,1553,-16,3,24,0,13,0,1,0,0,0,2,0,1
198,8.520371,47.358664,8.523818,47.377148,1088,2072,10,10,17,0,16,2,2,0,0,0,0,0,1
199,8.547195,47.382089,8.545505,47.373675,478,944,55,3,6,0,8,3,2,0,0,0,0,0,1
200,8.536068,47.377502,8.537971,47.364871,4036,1412,-4,3,26,0,9,4,2,0,0,1,0,0,1
201,8.516692,47.389777,8.491061,47.392336,1169,1950,9,7,11,0,17,0,0,0,0,0,1,0,1
202,8.528553,47.37423,8.560922,47.361907,1261,2796,-26,4,4,0,17,2,1,0,0,0,2,0,1
203,8.527138,47.387531,8.533736,47.366904,854,2347,-9,4,15,0,6,1,3,0,0,0,2,0,1
204,8.518982,47.386741,8.545505,47.373675,887,2470,-12,3,2,1,23,3,2,0,0,0,0,0,1
205,8.544935,47.366752,8.554397,47.369015,3194,756,-21,11,4,0,14,4,0,0,0,0,1,0,1
206,8.527298,47.370141,8.536068,47.377502,529,1052,8,5,22,0,15,1,8,0,0,0,0,0,1
207,8.51817,47.391784,8.512381,47.393409,303,472,4,1,30,0,1,1,0,0,0,0,1,0,1
208,8.536068,47.377502,8.545505,47.373675,916,828,-11,11,6,0,16,3,2,0,0,0,0,0,1
209,8.559534,47.370839,8.554397,47.369015,137,437,25,9,6,0,16,4,0,0,0,0,1,0,1
210,8.558096,47.413032,8.578718,47.403984,1053,1849,-6,11,11,1,16,0,1,0,0,0,0,0,1
211,8.537971,47.364871,8.534843,47.362594,516,346,-1,8,7,0,11,0,4,0,0,1,0,0,1
212,8.541541,47.413733,8.562301,47.424155,818,1945,16,8,6,1,17,0,1,0,0,0,0,0,1
213,8.520449,47.388151,8.531935,47.384918,477,936,-9,4,20,0,7,0,5,0,0,0,4,0,1
214,8.536068,47.377502,8.58841,47.40158,5766,4764,-25,4,20,0,7,0,1,0,0,0,0,0,1
215,8.510418,47.381356,8.518982,47.386741,154,880,3,11,6,0,16,2,1,0,0,0,3,0,1
216,8.516676,47.375819,8.537729,47.379719,915,1643,1,5,4,1,17,0,0,0,0,0,1,0,1
217,8.525782,47.365194,8.528553,47.37423,407,1026,3,5,22,0,18,3,3,0,0,0,1,0,1
218,8.523306,47.368939,8.531935,47.384918,975,1892,3,12,24,0,15,0,5,0,0,0,4,0,1
219,8.506474,47.418832,8.528796,47.383858,3620,4236,52,5,22,0,7,6,0,0,0,0,1,0,1
220,8.528553,47.37423,8.560922,47.361907,1149,2796,-26,8,15,0,16,2,1,0,0,0,2,0,1
221,8.533736,47.366904,8.525602,47.374241,674,1020,6,2,13,0,19,3,4,0,0,0,2,0,1
222,8.516676,47.375819,8.536068,47.377502,786,1472,4,9,6,0,16,1,8,0,0,0,0,0,1
223,8.536101,47.371083,8.531836,47.378548,2535,890,4,5,19,0,19,0,0,0,0,0,1,1,1
224,8.552818,47.414558,8.534974,47.402164,1002,1924,-31,7,13,0,12,0,0,0,0,0,1,0,1
225,8.49163,47.389823,8.486284,47.387685,706,467,-5,2,0,0,9,0,2,0,1,0,1,0,1
226,8.519782,47.37497,8.544935,47.366752,1731,2103,5,5,9,0,23,5,1,2,0,0,5,0,1
227,8.516676,47.375819,8.536068,47.377502,780,1472,4,3,9,1,6,1,8,0,0,0,0,0,1
228,8.516692,47.389777,8.518982,47.386741,239,379,-3,4,6,0,14,2,1,0,0,0,3,0,1
229,8.523722,47.3899,8.539882,47.374785,253,2075,-4,4,6,0,12,4,0,0,0,0,0,0,1
230,8.52174,47.365272,8.535119,47.355189,1442,1508,11,11,7,0,13,0,1,0,0,0,0,0,1
231,8.531836,47.378548,8.523306,47.368939,688,1247,-12,7,11,0,17,0,1,0,0,0,0,0,1
232,8.523818,47.377148,8.528049,47.347701,1151,3290,-18,5,4,0,20,0,1,0,1,0,0,0,1
233,8.604951,47.404646,8.62726,47.40245,1179,1697,-5,10,11,0,11,0,0,0,0,0,2,0,1
234,8.533314,47.37311,8.535082,47.345248,1000,3101,7,1,11,0,20,0,1,0,0,0,0,0,1
235,8.541251,47.378982,8.515633,47.379584,687,1930,-5,13,13,0,18,0,3,1,0,0,0,0,1
236,8.545602,47.417701,8.534974,47.402164,905,1904,-25,11,7,0,13,0,0,0,0,0,1,0,1
237,8.523306,47.368939,8.544935,47.366752,549,1647,7,12,30,0,17,5,1,2,0,0,5,0,1
238,8.53545,47.382798,8.542146,47.387698,1591,742,-53,10,9,0,8,0,3,0,0,0,0,0,1
239,8.549356,47.408827,8.558096,47.413032,1135,807,19,2,19,0,11,0,1,0,0,0,0,0,1
240,8.535401,47.375864,8.543447,47.375933,438,606,5,6,2,0,22,20,2,0,0,0,2,0,1
241,8.558096,47.413032,8.543768,47.411057,363,1100,-23,2,4,1,11,1,2,0,1,0,4,0,1
242,8.498196,47.385919,8.519782,47.37497,889,2031,-8,3,2,1,22,1,2,0,0,0,0,0,1
243,8.536068,47.377502,8.520482,47.37209,1096,1319,-8,6,2,1,18,0,2,0,0,0,0,0,1
244,8.545505,47.373675,8.533736,47.366904,874,1163,1,8,13,0,14,1,3,0,0,0,2,0,1
245,8.494127,47.383639,8.49038,47.381591,634,363,3,4,2,1,20,0,0,0,0,0,1,0,1
246,8.519782,47.37497,8.531836,47.378548,333,991,10,1,4,1,9,0,0,0,0,0,1,1,1
247,8.558096,47.413032,8.596202,47.397885,986,3326,-13,-2,6,1,8,0,0,0,0,0,8,0,1
248,8.53001,47.372475,8.536068,47.377502,1273,721,5,5,20,0,16,1,8,0,0,0,0,0,1
249,8.542726,47.379952,8.515558,47.371868,971,2235,-4,7,19,1,12,1,1,0,0,0,2,0,1
250,8.533314,47.37311,8.519782,47.37497,121,1040,-1,6,17,0,17,1,2,0,0,0,0,0,1
251,8.548562,47.36691,8.535718,47.359675,343,1258,7,0,4,1,6,0,1,0,0,0,0,0,1
252,8.525525,47.361567,8.527298,47.370141,483,963,4,5,19,1,7,0,0,0,0,0,1,0,1
253,8.531935,47.384918,8.520449,47.388151,519,936,9,8,22,0,13,3,3,0,0,0,0,0,1
254,8.536433,47.388689,8.548562,47.36691,794,2588,21,-3,2,1,7,7,4,0,0,0,2,0,1
